monitoring_location_name,activity_start_date,activity_depth_height_unit,sample_collection_equipment_name,characteristic_name,method_speciation,result_value,result_unit,result_detection_quantitation_limit_measure,result_detection_condition,result_analytical_method_instrument
223 LA CB,1974-08-14,epi,,NO3,as NO3-N,13,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1974-08-14,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1974-08-14,epi,,PH,,6.44,SU,#N/A,,pH Meter
223 LA CB,1974-08-14,epi,,TDN,as N,284,ug/L,5,,Photocombustion
223 LA CB,1974-08-14,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1974-09-11,epi,,CA,as Ca,2.33,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-09-11,epi,,CHLA,,1.9,ug/L,0.01,,Fluorometric-Method
223 LA CB,1974-09-11,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1974-09-11,epi,,DIC,as Total CO2,154,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-09-11,epi,,DOC,as C,305,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-09-11,epi,,NA,as Na,0.9,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-09-11,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1974-09-11,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1974-09-11,epi,,PH,,6.76,SU,#N/A,,pH Meter
223 LA CB,1974-09-11,epi,,TDN,as N,188,ug/L,5,,Photocombustion
223 LA CB,1974-09-11,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1974-10-09,epi,,CA,as Ca,2.22,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-10-09,epi,,CHLA,,3.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1974-10-09,epi,,COND,,21,uS/cm,1,,Radiometer CDM 3
223 LA CB,1974-10-09,epi,,DIC,as Total CO2,181,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-10-09,epi,,DOC,as C,241,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-10-09,epi,,NA,as Na,1.01,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-10-09,epi,,NO3,as NO3-N,3,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1974-10-09,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1974-10-09,epi,,PH,,6.64,SU,#N/A,,pH Meter
223 LA CB,1974-10-09,epi,,TDN,as N,201,ug/L,5,,Photocombustion
223 LA CB,1974-10-09,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1974-11-06,epi,,CA,as Ca,2.34,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-11-06,epi,,CHLA,,2.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1974-11-06,epi,,COND,,24,uS/cm,1,,Radiometer CDM 3
223 LA CB,1974-11-06,epi,,DIC,as Total CO2,149,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-11-06,epi,,DOC,as C,241,umol/L,10,,Automated conductimetric technique
223 LA CB,1974-11-06,epi,,NA,as Na,0.98,mg/L,0.01,,Atomic-Absorption
223 LA CB,1974-11-06,epi,,NO3,as NO3-N,8,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1974-11-06,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1974-11-06,epi,,PH,,6.84,SU,#N/A,,pH Meter
223 LA CB,1974-11-06,epi,,TDN,as N,431,ug/L,5,,Photocombustion
223 LA CB,1974-11-06,epi,,TDP,as P,4,ug/L,1,,Photocombustion
223 LA CB,1975-06-02,epi,,CA,as Ca,2.1,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-06-02,epi,,CHLA,,1.9,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-06-02,epi,,COND,,20,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-06-02,epi,,DIC,as Total CO2,101,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-06-02,epi,,DOC,as C,461,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-06-02,epi,,NA,as Na,0.9,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-06-02,epi,,NO3,as NO3-N,3,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-06-02,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1975-06-02,epi,,PH,,7.02,SU,#N/A,,pH Meter
223 LA CB,1975-06-02,epi,,TDN,as N,194,ug/L,5,,Photocombustion
223 LA CB,1975-06-02,epi,,TDP,as P,4,ug/L,1,,Photocombustion
223 LA CB,1975-06-30,epi,,CA,as Ca,2.17,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-06-30,epi,,CA,as Ca,2.12,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-06-30,epi,,CHLA,,1.2,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-06-30,epi,,CHLA,,1.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-06-30,epi,,COND,,19,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-06-30,epi,,COND,,19,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-06-30,epi,,DIC,as Total CO2,110,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-06-30,epi,,DIC,as Total CO2,113,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-06-30,epi,,DOC,as C,392,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-06-30,epi,,DOC,as C,388,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-06-30,epi,,NA,as Na,0.93,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-06-30,epi,,NA,as Na,0.93,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-06-30,epi,,NO3,as NO3-N,3,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-06-30,epi,,NO3,as NO3-N,3,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-06-30,epi,,PARTP,as P,6,ug/L,1,,Spectrophotometer
223 LA CB,1975-06-30,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1975-06-30,epi,,PH,,6.68,SU,#N/A,,pH Meter
223 LA CB,1975-06-30,epi,,PH,,6.71,SU,#N/A,,pH Meter
223 LA CB,1975-06-30,epi,,TDN,as N,215,ug/L,5,,Photocombustion
223 LA CB,1975-06-30,epi,,TDN,as N,202,ug/L,5,,Photocombustion
223 LA CB,1975-06-30,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1975-06-30,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1975-07-28,epi,,CA,as Ca,2.04,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-07-28,epi,,CA,as Ca,1.9,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-07-28,epi,,CHLA,,1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-07-28,epi,,CHLA,,1.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-07-28,epi,,DOC,as C,422,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-07-28,epi,,DOC,as C,489,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-07-28,epi,,NA,as Na,0.87,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-07-28,epi,,NA,as Na,0.84,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-07-28,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-07-28,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-07-28,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1975-07-28,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1975-07-28,epi,,TDN,as N,164,ug/L,5,,Photocombustion
223 LA CB,1975-07-28,epi,,TDN,as N,156,ug/L,5,,Photocombustion
223 LA CB,1975-07-28,epi,,TDP,as P,5,ug/L,1,,Photocombustion
223 LA CB,1975-07-28,epi,,TDP,as P,6,ug/L,1,,Photocombustion
223 LA CB,1975-08-25,epi,,CA,as Ca,2.32,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-08-25,epi,,CA,as Ca,2.32,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-08-25,epi,,CHLA,,1.8,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-08-25,epi,,CHLA,,1.6,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-08-25,epi,,COND,,21,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-08-25,epi,,COND,,21,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-08-25,epi,,DIC,as Total CO2,101,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-08-25,epi,,DIC,as Total CO2,102,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-08-25,epi,,DOC,as C,357,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-08-25,epi,,DOC,as C,379,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-08-25,epi,,NA,as Na,0.7,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-08-25,epi,,NA,as Na,0.76,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-08-25,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-08-25,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-08-25,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1975-08-25,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1975-08-25,epi,,PH,,6.61,SU,#N/A,,pH Meter
223 LA CB,1975-08-25,epi,,PH,,6.63,SU,#N/A,,pH Meter
223 LA CB,1975-08-25,epi,,TDN,as N,177,ug/L,5,,Photocombustion
223 LA CB,1975-08-25,epi,,TDN,as N,235,ug/L,5,,Photocombustion
223 LA CB,1975-08-25,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1975-08-25,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1975-09-22,epi,,CA,as Ca,2.3,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-09-22,epi,,CA,as Ca,2.25,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-09-22,epi,,CHLA,,2.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-09-22,epi,,CHLA,,2.4,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-09-22,epi,,COND,,23,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-09-22,epi,,COND,,21,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-09-22,epi,,DIC,as Total CO2,104,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-09-22,epi,,DIC,as Total CO2,97,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-09-22,epi,,DOC,as C,401,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-09-22,epi,,DOC,as C,394,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-09-22,epi,,NA,as Na,0.89,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-09-22,epi,,NA,as Na,0.92,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-09-22,epi,,NO3,as NO3-N,8,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-09-22,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-09-22,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1975-09-22,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1975-09-22,epi,,PH,,6.98,SU,#N/A,,pH Meter
223 LA CB,1975-09-22,epi,,PH,,6.92,SU,#N/A,,pH Meter
223 LA CB,1975-09-22,epi,,TDN,as N,208,ug/L,5,,Photocombustion
223 LA CB,1975-09-22,epi,,TDN,as N,245,ug/L,5,,Photocombustion
223 LA CB,1975-09-22,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1975-09-22,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1975-10-20,epi,,CA,as Ca,2.36,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-10-20,epi,,CA,as Ca,2.14,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-10-20,epi,,CHLA,,2.6,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-10-20,epi,,CHLA,,2.5,ug/L,0.01,,Fluorometric-Method
223 LA CB,1975-10-20,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-10-20,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1975-10-20,epi,,DIC,as Total CO2,134,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-10-20,epi,,DIC,as Total CO2,132,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-10-20,epi,,DOC,as C,379,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-10-20,epi,,DOC,as C,384,umol/L,10,,Automated conductimetric technique
223 LA CB,1975-10-20,epi,,NA,as Na,0.85,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-10-20,epi,,NA,as Na,0.83,mg/L,0.01,,Atomic-Absorption
223 LA CB,1975-10-20,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-10-20,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1975-10-20,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1975-10-20,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1975-10-20,epi,,PH,,6.48,SU,#N/A,,pH Meter
223 LA CB,1975-10-20,epi,,PH,,6.48,SU,#N/A,,pH Meter
223 LA CB,1975-10-20,epi,,TDN,as N,186,ug/L,5,,Photocombustion
223 LA CB,1975-10-20,epi,,TDN,as N,218,ug/L,5,,Photocombustion
223 LA CB,1975-10-20,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1975-10-20,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1976-01-08,epi,,CA,as Ca,3.13,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-01-08,epi,,CHLA,,1.8,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-01-08,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-01-08,epi,,DIC,as Total CO2,136,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-01-08,epi,,DOC,as C,410,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-01-08,epi,,NA,as Na,1.06,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-01-08,epi,,NO3,as NO3-N,8,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-01-08,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-01-08,epi,,PH,,6.61,SU,#N/A,,pH Meter
223 LA CB,1976-01-08,epi,,TDN,as N,278,ug/L,5,,Photocombustion
223 LA CB,1976-01-08,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1976-04-06,epi,,CA,as Ca,2.36,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-04-06,epi,,CHLA,,0.7,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-04-06,epi,,COND,,27,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-04-06,epi,,DIC,as Total CO2,142,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-04-06,epi,,DOC,as C,385,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-04-06,epi,,NA,as Na,1.11,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-04-06,epi,,NO3,as NO3-N,35,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-04-06,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1976-04-06,epi,,PH,,6.68,SU,#N/A,,pH Meter
223 LA CB,1976-04-06,epi,,TDN,as N,315,ug/L,5,,Photocombustion
223 LA CB,1976-04-06,epi,,TDP,as P,4,ug/L,1,,Photocombustion
223 LA CB,1976-05-03,epi,,CA,as Ca,2.83,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-05-03,epi,,CHLA,,3.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-05-03,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-05-03,epi,,DIC,as Total CO2,168,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-05-03,epi,,DOC,as C,428,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-05-03,epi,,NA,as Na,0.84,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-05-03,epi,,NO3,as NO3-N,38,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-05-03,epi,,PARTP,as P,5,ug/L,1,,Spectrophotometer
223 LA CB,1976-05-03,epi,,PH,,6.41,SU,#N/A,,pH Meter
223 LA CB,1976-05-03,epi,,TDN,as N,232,ug/L,5,,Photocombustion
223 LA CB,1976-05-03,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1976-05-17,epi,,CA,as Ca,2.01,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-05-17,epi,,CA,as Ca,1.85,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-05-17,epi,,CHLA,,3.2,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-05-17,epi,,CHLA,,3,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-05-17,epi,,DOC,as C,326,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-05-17,epi,,DOC,as C,388,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-05-17,epi,,NA,as Na,0.96,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-05-17,epi,,NA,as Na,0.88,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-05-17,epi,,NO3,as NO3-N,4,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-05-17,epi,,NO3,as NO3-N,3,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-05-17,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1976-05-17,epi,,PARTP,as P,6,ug/L,1,,Spectrophotometer
223 LA CB,1976-05-17,epi,,TDN,as N,406,ug/L,5,,Photocombustion
223 LA CB,1976-05-17,epi,,TDN,as N,232,ug/L,5,,Photocombustion
223 LA CB,1976-05-17,epi,,TDP,as P,4,ug/L,1,,Photocombustion
223 LA CB,1976-05-17,epi,,TDP,as P,3,ug/L,1,,Photocombustion
223 LA CB,1976-05-31,epi,,CA,as Ca,2.16,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-05-31,epi,,CHLA,,0.9,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-05-31,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-05-31,epi,,DIC,as Total CO2,108,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-05-31,epi,,DOC,as C,320,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-05-31,epi,,NA,as Na,0.92,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-05-31,epi,,NO3,as NO3-N,4,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-05-31,epi,,PARTP,as P,4,ug/L,1,,Spectrophotometer
223 LA CB,1976-05-31,epi,,PH,,6.49,SU,#N/A,,pH Meter
223 LA CB,1976-05-31,epi,,TDN,as N,256,ug/L,5,,Photocombustion
223 LA CB,1976-05-31,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-06-14,epi,,CA,as Ca,2.17,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-14,epi,,CA,as Ca,2.24,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-14,epi,,CHLA,,1.6,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-06-14,epi,,CHLA,,1.7,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-06-14,epi,,DOC,as C,332,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-06-14,epi,,DOC,as C,292,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-06-14,epi,,NA,as Na,0.89,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-14,epi,,NA,as Na,0.92,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-14,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-06-14,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-06-14,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-06-14,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-06-14,epi,,TDN,as N,180,ug/L,5,,Photocombustion
223 LA CB,1976-06-14,epi,,TDN,as N,188,ug/L,5,,Photocombustion
223 LA CB,1976-06-14,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-06-14,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-06-28,epi,,CA,as Ca,2.03,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-28,epi,,CA,as Ca,2.16,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-28,epi,,CA,as Ca,2.09,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-28,epi,,CHLA,,1.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-06-28,epi,,CHLA,,1.1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-06-28,epi,,CHLA,,1,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-06-28,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
223 LA CB,1976-06-28,epi,,DIC,as Total CO2,94,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-06-28,epi,,DOC,as C,296,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-06-28,epi,,DOC,as C,330,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-06-28,epi,,DOC,as C,296,umol/L,10,,Automated conductimetric technique
223 LA CB,1976-06-28,epi,,NA,as Na,0.84,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-28,epi,,NA,as Na,0.89,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-28,epi,,NA,as Na,0.86,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-06-28,epi,,NO3,as NO3-N,2,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-06-28,epi,,NO3,as NO3-N,1,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-06-28,epi,,NO3,as NO3-N,9,ug/L,1,,Technicon Autoanalyzer
223 LA CB,1976-06-28,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1976-06-28,epi,,PARTP,as P,3,ug/L,1,,Spectrophotometer
223 LA CB,1976-06-28,epi,,PARTP,as P,2,ug/L,1,,Spectrophotometer
223 LA CB,1976-06-28,epi,,PH,,6.45,SU,#N/A,,pH Meter
223 LA CB,1976-06-28,epi,,TDN,as N,244,ug/L,5,,Photocombustion
223 LA CB,1976-06-28,epi,,TDN,as N,194,ug/L,5,,Photocombustion
223 LA CB,1976-06-28,epi,,TDN,as N,192,ug/L,5,,Photocombustion
223 LA CB,1976-06-28,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-06-28,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-06-28,epi,,TDP,as P,2,ug/L,1,,Photocombustion
223 LA CB,1976-07-12,epi,,CA,as Ca,2.6,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-07-12,epi,,CA,as Ca,2.46,mg/L,0.01,,Atomic-Absorption
223 LA CB,1976-07-12,epi,,CHLA,,0.9,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-07-12,epi,,CHLA,,0.9,ug/L,0.01,,Fluorometric-Method
223 LA CB,1976-07-12,epi,,COND,,22,uS/cm,1,,Radiometer CDM 3
