BsM_Cycle,Region,FMZ,waterbodyID,lakeName,BsM_ProjectName,Target Species,lat,long,dateSample,DD5 8110,Air Temp 8110,Lake Selection,surfaceArea,meanDepth,maxDepth,lakeVolume,yearSample,monthSample,daySample,Temperature/DO Sample Dates,Large and Small Mesh Netting Sample Dates
3,NA,5,15-5770-54220,Turtle L.,NA, Walleye,48.95315,-91.94003,,1616,2.9,Trend,1208.5,6.3,18.3,76327105.3,2021,8,5,05-Aug-21,"05-Aug-21, 06-Aug-21"
3,NA,4,15-4270-56011,Conifer L.,NA, Lake Trout,50.5674,-94.03211,,1614,2.3,Trend,1137.9,25.3,65.8,284650285.2,2022,7,4,04-Jul-22,"03-Jul-22, 04-Jul-22, 05-Jul-22, 06-Jul-22, 07-Jul-22"
3,NA,4,15-5737-55520,Pelican L.,NA, Walleye,50.1115,-91.96123,23-May-22,1630,2.2,Trend,2296.9,10.4,36,238439369.3,2022,6,3,03-Jun-22,"01-Jun-22, 02-Jun-22, 03-Jun-22, 04-Jun-22, 31-May-22"
3,NA,5,15-4950-55030,Eagle L.,NA, Walleye,49.66881,-93.27879,24-May-22,1690,2.9,Trend,31706.4,7.2,32.8,2279936305,2022,7,3,03-Jul-22,"03-Jul-22, 04-Jul-22, 06-Jul-22, 07-Jul-22, 08-Jul-22"
3,NA,4,15-5808-56326,Otatakan L.,NA, Walleye,50.85048,-91.85134,,1529,1.5,Trend,1519.7,4.7,8.5,71153298.26,2021,7,3,03-Jul-21,"03-Jul-21, 04-Jul-21, 05-Jul-21"
3,NA,4,15-4613-57020,Nungesser L.,NA, Walleye,51.47248,-93.53952,21-May-19,1477,1.1,Trend,7417.5,4.9,15.2,366004176.3,2019,8,1,01-Aug-19,"30-Jul-19, 31-Jul-19"
3,NA,5,15-5849-53998,Perch L.,NA, Walleye,48.74848,-91.83244,,1608,3,Trend,760.7,5.9,24.7,41506500.67,2023,9,24,24-Sep-23,"22-Sep-23, 23-Sep-23, 24-Sep-23"
3,NA,5,15-5429-54280,Eltrut L.,NA, Walleye,49.00154,-92.41658,,1637,3,Trend,2269.8,3.7,12.2,88851797.53,2023,9,19,19-Sep-23,"19-Sep-23, 20-Sep-23"
3,NA,5,15-6065-54144,Marmion L.,NA, Walleye,48.89674,-91.51896,,1599,2.9,Trend,3960,6.2,24.4,246709732,2023,9,19,19-Sep-23,"22-Sep-23, 23-Sep-23, 24-Sep-23"
3,NA,5,15-6135-54228,Sawbill B.,NA, Walleye,48.96026,-91.44366,,1582,2.8,Trend,5516.4,6.3,30.5,353070543.2,2023,9,19,19-Sep-23,"19-Sep-23, 20-Sep-23, 21-Sep-23, 22-Sep-23"
3,NA,5,15-5023-54567,Lower Manitou L.,NA, Lake Trout,49.27811,-92.94807,24-May-22,1672,3,Trend & State,8871.7,19.9,81,1648675130,2023,9,12,12-Sep-23,"09-Sep-23, 10-Sep-23, 11-Sep-23"
3,NA,5,15-4127-55299,Plum L.,NA, Walleye,49.90988,-94.21523,26-May-22,1753,3.1,Trend,73.6,4.7,12,3482010.22,2023,9,10,10-Sep-23,"10-Sep-23, 11-Sep-23"
3,NA,7,16-5538-55350,Chipman L.,NA, Walleye,49.98361,-86.23982,,1317,0.7,Trend,2700.8,14.7,55.7,389156880,2023,9,10,10-Sep-23,"06-Sep-23, 07-Sep-23, 08-Sep-23, 09-Sep-23, 10-Sep-23, 11-Sep-23, 12-Sep-23"
3,NA,5,15-5842-54507,Nora L.,NA, Walleye,49.19934,-91.85993,,1611,2.7,Trend,1612.7,16.2,55.2,258001208.2,2023,9,8,08-Sep-23,"06-Sep-23, 07-Sep-23, 08-Sep-23"
3,NA,5,15-5241-55137,Thunder L.,NA, Walleye,49.77882,-92.66332,24-May-22,1660,2.6,Trend,1118.3,11.1,23.5,124653004.3,2023,9,7,07-Sep-23,"06-Sep-23, 07-Sep-23, 08-Sep-23, 09-Sep-23"
3,NA,5,15-3755-55568,Blueberry L.,NA, Walleye,50.15109,-94.74174,,1717,2.8,Trend,125.3,2.5,4.9,2600000,2023,9,6,06-Sep-23,"06-Sep-23, 07-Sep-23, 08-Sep-23"
3,NA,5,15-4725-54467,Bluffpoint L.,NA, Lake Trout,49.1767,-93.37447,,1688,3.1,Trend,503.7,10.4,38.1,54121600.55,2023,9,6,06-Sep-23,"06-Sep-23, 07-Sep-23, 08-Sep-23"
3,NA,5,15-5149-54725,Upper Manitou L.,NA," Lake Trout, Walleye",49.40161,-92.77724,24-May-22,1667,2.9,Trend,5310.4,17.2,56,892869256.4,2023,9,6,06-Sep-23,"06-Sep-23, 07-Sep-23, 08-Sep-23"
3,NA,5,15-5676-54025,Calm L.,NA,,48.78402,-92.08944,,1617,3,Supplemental,2446.5,13.9,65.3,344845077,2023,8,28,28-Aug-23,"28-Aug-23, 29-Aug-23, 30-Aug-23, 31-Aug-23"
3,NA,5,15-4710-54335,Kaiashkons L.,NA, Lake Trout,49.05496,-93.39573,,1684,3.1,Trend,2025.2,24.5,58,526039523.9,2023,8,28,28-Aug-23,"22-Aug-23, 23-Aug-23, 24-Aug-23, 25-Aug-23, 26-Aug-23, 27-Aug-23"
3,NA,4,15-6046-55042,Gooch L.,NA, Walleye,49.69139,-91.55158,25-May-22,1589,2.3,Trend,143,1.4,2.8,2024643.07,2023,8,26,26-Aug-23,"26-Aug-23, 27-Aug-23, 28-Aug-23"
3,NA,7,16-4348-54546,Kilgour L.,NA, Lake Trout,49.24343,-87.89394,,1372,2.1,Trend,95.9,8.1,23.2,7921800,2023,8,26,26-Aug-23,"22-Aug-23, 23-Aug-23, 24-Aug-23, 25-Aug-23, 26-Aug-23"
3,NA,7,16-5657-55074,Pagwachuan L.,NA, Lake Trout,49.71758,-86.08862,,1305,0.9,Trend,2674,19,53.9,503506063.5,2023,8,26,26-Aug-23,"23-Aug-23, 24-Aug-23, 25-Aug-23, 26-Aug-23, 27-Aug-23, 28-Aug-23"
3,NA,5,15-3541-54903,Shoal L.,NA, Walleye,49.54735,-94.94029,,,,Trend - nonrandom,25011,10,30,2510469072,2023,8,24,24-Aug-23,"22-Aug-23, 23-Aug-23, 24-Aug-23, 25-Aug-23, 26-Aug-23, 27-Aug-23"
3,NA,5,15-4943-54343,Vista L.,NA, Lake Trout,49.06245,-93.08016,24-May-22,1671,3.1,Trend,556.6,13.1,68.9,73687502.15,2023,8,24,24-Aug-23,"22-Aug-23, 23-Aug-23, 24-Aug-23, 25-Aug-23, 26-Aug-23"
3,NA,5,15-5684-54631,"WE66-23, L. (DRY-NL-651)",NA, Walleye,49.31937,-92.05985,,1626,2.7,Trend,113.6,2.3,5.2,2523099.88,2023,8,24,24-Aug-23,"22-Aug-23, 23-Aug-23, 24-Aug-23"
3,NA,6,15-6804-53764,Squeers L.,NA,,48.51628,-90.55746,,1466,2.5,Supplemental,369.6,11.5,33.6,44171500.7,2023,8,23,23-Aug-23,"21-Aug-23, 22-Aug-23, 23-Aug-23"
3,NA,5,15-5816-54402,White Otter L.,NA, Walleye,49.09057,-91.86311,,1615,2.8,Trend,8467.2,22.1,56.4,1823029031,2023,8,22,22-Aug-23,"22-Aug-23, 23-Aug-23, 24-Aug-23, 25-Aug-23, 26-Aug-23"
3,NA,7,16-5079-54800,Long L.,NA, Lake Trout,49.47507,-86.89059,,1319,1.2,Trend,13498.6,39.2,186.1,5025596800,2023,8,22,22-Aug-23,"22-Aug-23, 23-Aug-23, 24-Aug-23, 25-Aug-23, 26-Aug-23"
3,NA,5,15-5979-54059,Steep Rock L.,NA,,48.79669,-91.6697,,1605,2.9,Supplemental,618.3,4.8,14,29739077.82,2023,8,21,21-Aug-23,"21-Aug-23, 22-Aug-23, 23-Aug-23"
3,NA,5,15-4632-54287,Loonhaunt L.,NA, Walleye,49.002,-93.50355,,1686,3.2,Trend,2095.4,11.3,47.3,233955192.9,2023,8,13,13-Aug-23,"09-Aug-23, 10-Aug-23, 11-Aug-23, 12-Aug-23"
3,NA,5,15-4562-54445,Schistose L.,NA, Walleye,49.15469,-93.60163,,1698,3.1,Trend,338.3,16.6,53,57220203.34,2023,8,12,12-Aug-23,"09-Aug-23, 10-Aug-23, 11-Aug-23, 12-Aug-23"
3,NA,5,15-5970-53925,Abbess L.,NA, Lake Trout,48.67977,-91.68384,,1595,2.9,Trend,134.3,13,37.2,16925999.6,2023,8,11,11-Aug-23,"11-Aug-23, 12-Aug-23, 13-Aug-23"
3,NA,5,15-4396-54165,Off L.,NA, Walleye,48.90206,-93.83011,,1686,3.1,Trend,445.5,4.9,12.2,22486100.14,2023,8,10,10-Aug-23,"10-Aug-23, 11-Aug-23, 12-Aug-23"
3,NA,5,15-4512-54200,West Jackfish L.,NA, Walleye,48.93632,-93.66605,,1686,3.2,Trend,1941.2,5.3,18.3,103344068.1,2023,8,9,09-Aug-23,"09-Aug-23, 10-Aug-23, 11-Aug-23, 12-Aug-23"
3,NA,5,15-5502-54176,Manion L.,NA, Walleye,48.90942,-92.31834,,1630,3,Trend,1138.5,5.6,12,67082400.22,2023,7,30,30-Jul-23,"30-Jul-23, 31-Jul-23"
3,NA,5,15-4390-54514,Kakagi L.,NA, Lake Trout,49.24073,-93.83253,,1712,3.2,Trend & State,11061.7,20.6,58,2304254283,2023,7,25,25-Jul-23,"25-Jul-23, 26-Jul-23, 27-Jul-23, 28-Jul-23, 29-Jul-23"
3,NA,5,15-5600-54290,Mount L.,NA, Walleye,49.01314,-92.18708,,1628,2.9,Trend,1016.7,12.8,37.2,130599714.3,2023,7,25,25-Jul-23,"25-Jul-23, 26-Jul-23, 27-Jul-23"
3,NA,5,15-5586-54227,Sandbeach L.,NA, Walleye,48.95915,-92.20128,,1627,2.9,Trend,666.6,20.7,54.9,141070505.2,2023,7,25,25-Jul-23,"25-Jul-23, 26-Jul-23, 27-Jul-23, 28-Jul-23"
3,NA,5,15-3532-55170,Whitefish L.,NA, Walleye,49.78718,-95.03457,,1752,3.1,Trend,216.4,7,20.1,15400000,2023,7,25,25-Jul-23,"25-Jul-23, 26-Jul-23, 27-Jul-23"
3,NA,5,15-4124-55428,Old Man L.,NA, Walleye,50.03672,-94.22218,26-May-22,1730,2.9,Trend,160.8,6.1,23,9607499.85,2023,7,17,17-Jul-23,"17-Jul-23, 18-Jul-23, 19-Jul-23"
3,NA,5,15-5026-55337,Rugby L.,NA, Walleye,49.95675,-92.95825,23-May-22,1662,2.6,Trend,1020.5,3.4,7.6,33469601.77,2023,7,14,14-Jul-23,"14-Jul-23, 15-Jul-23, 16-Jul-23, 17-Jul-23"
3,NA,7,16-5406-54956,McKay L.,NA, Lake Trout,49.6134,-86.43808,,1309,1,Trend,3155.6,9.4,48.8,294370400,2023,7,13,13-Jul-23,"11-Jul-23, 13-Jul-23, 14-Jul-23, 16-Jul-23, 17-Jul-23, 25-Jul-23, 26-Jul-23, 27-Jul-23"
3,NA,5,15-4431-54685,Caviar L.,NA, Walleye,49.37469,-93.77506,,1717,3.2,Trend,3170.3,9.1,39.6,289907816.6,2023,7,11,11-Jul-23,"10-Jul-23, 11-Jul-23, 12-Jul-23, 13-Jul-23"
3,NA,4,15-5365-55747,"Seul, La.",NA, Walleye,50.40282,-92.47874,,,,Trend - nonrandom,134398.1,8.6,36,11534390115,2023,7,10,10-Jul-23,"09-Jul-23, 10-Jul-23, 11-Jul-23, 14-Jul-23, 15-Jul-23, 16-Jul-23, 17-Jul-23"
3,NA,5,15-4342-54693,Dogpaw L.,NA, Lake Trout,49.36962,-93.90523,,1726,3.2,Trend,1966.9,10.3,24.4,205423206.3,2023,7,10,10-Jul-23,"13-Jul-23, 14-Jul-23, 15-Jul-23, 16-Jul-23"
3,NA,5,15-5100-54230,Otukamamoan L.,NA, Walleye,48.96084,-92.89431,,1656,3.1,Trend,5026.2,16.9,53.7,873020147.3,2023,7,9,09-Jul-23,"09-Jul-23, 10-Jul-23, 11-Jul-23, 12-Jul-23"
3,NA,5,15-4729-54570,Lawrence L.,NA, Walleye,49.27504,-93.36566,24-May-22,1691,3.1,Trend,1877.3,22.2,76.2,415295403.4,2023,6,30,30-Jun-23,"26-Jun-23, 27-Jun-23, 28-Jun-23, 29-Jun-23"
3,NA,5,15-4351-55357,Shrub L.,NA, Lake Trout,49.97099,-93.89782,26-May-22,1715,2.9,Trend,550.3,9,26,50283001.1,2023,6,30,30-Jun-23,"27-Jun-23, 28-Jun-23, 29-Jun-23, 30-Jun-23"
3,NA,7,16-4888-54320,Stingray L.,NA, Brook Trout,49.04258,-87.15365,,,,Trend,92,,,,2023,6,28,28-Jun-23,"27-Jun-23, 28-Jun-23, 29-Jun-23"
3,NA,5,15-5503-53695,Captain Tom L.,NA, Walleye,48.47819,-92.31846,,1617,3.1,Trend,188.5,6.2,21.4,12356599.81,2023,6,27,27-Jun-23,"27-Jun-23, 28-Jun-23, 29-Jun-23"
3,NA,5,15-4395-54864,Dryberry L.,NA, Lake Trout,49.54722,-93.85008,,1726,3.2,Trend,10238.6,22.1,105.5,2410005042,2023,6,27,27-Jun-23,"22-Jun-23, 27-Jun-23, 28-Jun-23, 29-Jun-23, 30-Jun-23"
3,NA,7,16-5818-55170,Klotz L.,NA, Walleye,49.80202,-85.86278,,1302,0.9,Trend,786.2,7.8,19.8,64747800,2023,6,16,16-Jun-23,"12-Jun-23, 13-Jun-23, 14-Jun-23, 15-Jun-23, 16-Jun-23"
3,NA,5,15-3653-55394,Cygnet L.,NA, Walleye,49.99142,-94.88562,,1738,3,Trend,1317.9,4.1,11,55538597.71,2023,6,13,13-Jun-23,"13-Jun-23, 14-Jun-23, 15-Jun-23, 16-Jun-23, 17-Jun-23"
3,NA,5,15-3662-55240,Pelicanpouch L.,NA, Walleye,49.85536,-94.87014,,1753,3.1,Trend,1125.2,3.6,9.2,39916800.7,2023,6,13,13-Jun-23,"13-Jun-23, 14-Jun-23, 15-Jun-23, 16-Jun-23, 17-Jun-23"
3,NA,4,15-4187-56135,Confusion L.,NA, Walleye,50.65108,-94.17888,,1600,2.1,Trend,1463,11.6,42.7,165439199.8,2022,9,7,07-Sep-22,"07-Sep-22, 08-Sep-22, 09-Sep-22"
3,NA,4,15-3895-55970,Wyder L.,NA, Lake Trout,50.51618,-94.55925,,1647,2.4,Trend,265.2,8.1,31,20841299.99,2022,9,7,07-Sep-22,"07-Sep-22, 08-Sep-22, 09-Sep-22"
3,NA,4,15-4919-56922,Blair L.,NA, Walleye,51.37386,-93.11465,22-May-22,1479,1.2,Trend,126.1,3.8,11.3,4751811.43,2022,8,30,30-Aug-22,"29-Aug-22, 30-Aug-22, 31-Aug-22"
3,NA,4,15-4255-56385,Upper Medicine Stone L.,NA, Lake Trout,50.89562,-94.05979,,1555,1.8,Trend,1076.2,15.7,41.2,168429605.6,2022,8,26,26-Aug-22,"26-Aug-22, 27-Aug-22, 28-Aug-22, 29-Aug-22, 30-Aug-22"
3,NA,4,15-5209-57140,Wavell L.,NA, Walleye,51.5779,-92.69876,22-May-22,1455,0.9,Trend,805.8,9.5,23,78755000,2022,8,26,26-Aug-22,"26-Aug-22, 27-Aug-22, 28-Aug-22, 29-Aug-22"
3,NA,5,15-6460-54008,Elbow L.,NA,,48.74861,-91.02265,,,,Supplemental,567.4,,,,2022,8,26,26-Aug-22,"26-Aug-22, 27-Aug-22, 28-Aug-22, 29-Aug-22"
3,NA,4,15-5045-56849,Shabu L.,NA, Walleye,51.31424,-92.93967,22-May-22,1485,1.3,Trend,709.1,4.4,13.2,31587601.76,2022,8,25,25-Aug-22,"25-Aug-22, 26-Aug-22, 27-Aug-22, 28-Aug-22"
3,NA,4,15-6500-55194,Bell L.,NA, Lake Trout,49.80966,-90.93897,25-May-22,1520,2,Trend,4161.8,9.5,34.4,396112009.3,2022,8,23,23-Aug-22,"23-Aug-22, 24-Aug-22, 25-Aug-22, 26-Aug-22, 27-Aug-22"
3,NA,6,15-6804-53764,Squeers L.,NA,,48.51628,-90.55746,,1466,2.5,Supplemental,369.6,11.5,33.6,44171500.7,2022,8,23,23-Aug-22,"22-Aug-22, 23-Aug-22"
3,NA,2,15-4198-58335,Deer L.,NA,,52.63469,-94.20479,,1406,0.3,Supplemental,14580.6,14.5,66,2115625694,2022,8,22,22-Aug-22,"09-Aug-22, 10-Aug-22, 11-Aug-22"
3,NA,4,15-6733-56270,Minchin L.,NA, Walleye,50.76686,-90.54351,,1458,1.2,Trend,1514.9,6.3,24.4,95453807.97,2022,8,20,20-Aug-22,"17-Aug-22, 18-Aug-22, 19-Aug-22"
3,NA,5,15-4487-55234,Augite L.,NA, Lake Trout,49.8623,-93.71668,,1709,2.9,Trend,106.5,9.9,26,10414799.3,2022,8,19,19-Aug-22,"17-Aug-22, 18-Aug-22, 19-Aug-22"
3,NA,5,15-4452-55268,Little Gordon L.,NA, Lake Trout,49.89284,-93.76337,,1711,2.9,Trend,178.6,17.3,46.7,30447998.66,2022,8,18,18-Aug-22,"16-Aug-22, 17-Aug-22, 18-Aug-22, 19-Aug-22"
3,NA,7,16-4450-54254,Buckaday L.,NA, Brook Trout,48.98064,-87.75228,,1341,2.3,Trend,94.6,7.1,33.6,7632500,2022,8,17,17-Aug-22,"17-Aug-22, 18-Aug-22, 19-Aug-22"
3,NA,4,15-4269-56605,Hammell L.,NA, Lake Trout,51.09368,-94.0448,,1523,1.5,Trend,831.4,9.6,24.4,80267801.4,2022,8,16,16-Aug-22,"16-Aug-22, 17-Aug-22, 18-Aug-22, 19-Aug-22"
3,NA,4,15-5970-55554,Botsford L.,NA, Walleye,50.13856,-91.6591,23-May-22,1603,2.1,Trend,1472.6,6.7,24,99070208.44,2022,8,8,08-Aug-22,"08-Aug-22, 09-Aug-22, 10-Aug-22, 11-Aug-22"
3,NA,4,15-6321-55100,Crystal L.,NA, Walleye,49.72882,-91.1675,25-May-22,1546,2.1,Trend,115.8,1.9,4.6,2260999.97,2022,8,7,07-Aug-22,"07-Aug-22, 08-Aug-22"
3,NA,4,15-4674-55871,Anishinabi L.,NA, Lake Trout,50.43988,-93.44327,,1607,2.3,Trend,3295.5,32,88.8,1054920946,2022,8,5,05-Aug-22,"05-Aug-22, 06-Aug-22, 07-Aug-22, 08-Aug-22"
3,NA,4,15-5605-56599,Jeanette L.,NA, Walleye,51.0898,-92.13638,,1507,1.4,Trend,1580.7,4.3,12.5,74527601.21,2022,8,5,05-Aug-22,"05-Aug-22, 06-Aug-22, 07-Aug-22, 08-Aug-22, 09-Aug-22"
3,NA,4,15-4455-55462,Big Canon L.,NA, Lake Trout,50.06847,-93.75888,26-May-22,1690,2.8,Trend,2089.2,21.6,63,451307120.9,2022,8,4,04-Aug-22,"03-Aug-22, 04-Aug-22, 05-Aug-22"
3,NA,4,15-4642-55404,Eye L.,NA, Walleye,50.01584,-93.50594,26-May-22,1679,2.7,Trend,130.4,4.2,7.2,5498300.19,2022,7,27,27-Jul-22,"25-Jul-22, 26-Jul-22"
3,NA,4,15-5282-55495,Mold L.,NA, Lake Trout,50.09953,-92.6059,23-May-22,1638,2.4,Trend,48,7.3,17,3542187.36,2022,7,26,26-Jul-22,"26-Jul-22, 27-Jul-22"
3,NA,4,15-5606-56722,Hailstone L.,NA, Walleye,51.20038,-92.1061,,1494,1.3,Trend,515.2,1.6,14,8763335.91,2022,7,18,18-Jul-22,"18-Jul-22, 19-Jul-22"
3,NA,4,15-4784-56717,Trout L.,NA, Lake Trout,51.19868,-93.30949,,1497,1.4,Trend,34518.2,13.7,47.3,4768545020,2022,7,15,15-Jul-22,"14-Jul-22, 15-Jul-22, 16-Jul-22, 17-Jul-22, 18-Jul-22, 19-Jul-22"
3,NA,4,15-4741-57335,Silcox L.,NA, Walleye,51.75362,-93.37461,22-May-22,1445,0.8,Trend,873.9,3.2,6.1,28328635.25,2022,7,14,14-Jul-22,"14-Jul-22, 15-Jul-22"
3,NA,7,16-5188-55331,Burrows L.,NA, Walleye,49.9523,-86.73837,,1336,0.7,Trend,1758.5,2.9,18.3,51077703.1,2022,7,8,08-Jul-22,"06-Jul-22, 07-Jul-22, 08-Jul-22, 09-Jul-22, 10-Jul-22"
3,NA,4,15-5179-56721,Woman L.,NA, Lake Trout,51.20095,-92.75446,22-May-22,1498,1.4,Trend,1929.4,10.2,34,197457762,2022,7,3,03-Jul-22,"03-Jul-22, 04-Jul-22, 05-Jul-22, 06-Jul-22"
3,NA,5,15-6263-53964,Crystal L.,NA, Lake Trout,48.7076,-91.27802,,1557,2.8,Trend,623.9,15.9,47,99948942.89,2022,6,22,22-Jun-22,"16-Jun-22, 17-Jun-22, 18-Jun-22, 19-Jun-22, 20-Jun-22, 21-Jun-22"
3,NA,4,15-4131-55595,Big Fox L.,NA, Walleye,50.17355,-94.19317,26-May-22,1700,2.8,Trend,1624.3,7.8,33.7,127065980,2022,6,20,20-Jun-22,"18-Jun-22, 19-Jun-22, 20-Jun-22"
3,NA,5,15-4606-55329,Edward L.,NA, Walleye,49.9464,-93.55602,26-May-22,1689,2.8,Trend,534.3,3.4,7.9,18230800.93,2022,6,19,19-Jun-22,"18-Jun-22, 19-Jun-22, 20-Jun-22, 21-Jun-22"
3,NA,4,15-4305-55763,Tide L.,NA, Walleye,50.33775,-93.98355,26-May-22,1657,2.5,Trend,1373.8,10.6,30.5,143121200,2022,6,17,17-Jun-22,"15-Jun-22, 16-Jun-22"
3,NA,5,15-4216-54977,Andy L.,NA, Walleye,49.62961,-94.08984,,1753,3.2,Trend,162.7,6,14.6,9786000.37,2022,6,16,16-Jun-22,"13-Jun-22, 14-Jun-22, 15-Jun-22"
3,NA,4,15-5735-55360,Minnitaki L.,NA, Walleye,49.97183,-91.95802,23-May-22,1631,2.3,Trend,17508.9,12.2,44,2128401752,2022,6,3,03-Jun-22,"01-Jun-22, 02-Jun-22, 03-Jun-22, 04-Jun-22, 05-Jun-22"
3,NA,4,15-5765-55453,Abram L.,NA, Walleye,50.05909,-91.92916,23-May-22,1630,2.2,Trend,2438.5,13.4,40,325790362.5,2022,6,2,02-Jun-22,"01-Jun-22, 02-Jun-22, 03-Jun-22, 04-Jun-22, 05-Jun-22, 31-May-22"
