BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,elevation
Joseph,45.17434,-79.7239,17-5998-50031,Joseph,45.17638889,-79.73027778,17-5998-50031,,225.0009918
Chesley,44.55287,-81.22414,17-4822-49331,Chesley,44.55333333,-81.22472222,17-4822-49331,,225.2839661
Marie Louise,48.38319,-88.80144,16-3666-53602,Marie Louise,48.3825,-88.80138889,16-3666-53601,,226.8423767
Remi,49.42346,-82.17586,17-4164-54756,Remi,49.42944444,-82.15305556,17-4164-54756,,227.0939941
Ella,46.29967,-81.52069,17-4598-51271,Ella,46.29861111,-81.5225,17-4598-51272,,227.6952057
Gould,44.59698,-81.19684,17-4839-49376,Gould,44.59388889,-81.2025,17-4839-49377,,227.8934326
Chiblow,46.3472,-83.05073,17-3423-51340,Chiblow,46.34361111,-83.04916667,17-3423-51340,,227.9326172
Dalrymple,44.64052,-79.11093,17-6500-49453,Dalrymple,44.64722222,-79.10888889,17-6500-49453,,228.3731995
Little,44.42642,-79.67346,17-6058-49199,Little,44.42666667,-79.67111111,17-6058-49199,,228.8899994
Great Mountain,46.158,-81.35883,17-4723-51114,Great Mountain,46.1575,-81.35861111,17-4723-51114,,228.942688
Clear,45.44131,-77.1955,18-3287-50341,Clear,45.44111111,-77.19055556,18-3287-50341,,229.7700043
Matinenda,46.37703,-82.95394,17-3525-51387,Matinenda,46.38777778,-82.91777778,17-3525-51387,,230.743988
Little Chiblow,46.357,-83.13157,17-3360-51357,Little Chiblow,46.35694444,-83.13166667,17-3360-51357,,232.0900269
Katchewanooka,44.45749,-78.2587,17-7182-49263,Katchewanooka,44.45916667,-78.25666667,17-7182-49263,,232.4520111
McGiverin,46.30329,-82.73474,17-3678-51289,McGiverin,46.3025,-82.71666667,17-3678-51289,,232.693512
Deer,46.48181,-80.21786,17-5601-51477,Deer,46.48194444,-80.2175,17-5601-51477,,233.7162628
Balsam,45.9177,-80.14503,17-5664-50851,Balsam,45.91833333,-80.14388889,17-5664-50851,,234.1210022
Stony,44.55642,-78.11352,17-7310-49388,Stony,44.56722222,-78.09111111,17-7310-49388,,234.4000092
Clear,44.51481,-78.19302,17-7230-49327,Clear,44.51527778,-78.19444444,17-7230-49327,,234.4049988
Stewart,45.14283,-79.76496,17-5971-49992,Stewart,45.14194444,-79.76444444,17-5971-49993,,234.5039978
Big Moon,46.41782,-82.87769,17-3557-51418,Big Moon,46.41611111,-82.87805556,17-3557-51418,,234.7572632
Mountain,44.70923,-80.69675,17-5239-49504,Mountain,44.70861111,-80.69777778,17-5239-49504,,235.5037842
Hungry,44.80667,-76.89447,18-3503-49630,Hungry,44.80694444,-76.8925,18-3503-49630,,237.6799927
Crotch,44.91255,-76.80939,18-3571-49746,Crotch,44.9125,-76.80972222,18-3572-49746,,237.8150024
Nine Mile,45.46238,-80.05162,17-5742-50352,Nine Mile,45.46805556,-80.05138889,17-5742-50352,,238.6385193
Rattrays,45.61116,-77.31996,18-3191-50532,Rattrays,45.61111111,-77.32027778,18-3191-50532,,238.8950348
Lang,46.16152,-81.66548,17-4485-51124,Lang,46.165,-81.66722222,17-4485-51124,,239.1730194
Muskosung,46.49128,-80.04488,17-5732-51489,Muskosung,46.49138889,-80.04666667,17-5732-51489,,239.5713501
Nosbonsing,46.20715,-79.21294,17-6382-51179,Nosbonsing,46.2025,-79.20888889,17-6382-51179,,240.0121002
Commanda,46.01084,-79.70668,17-6007-50961,Commanda,46.01333333,-79.69972222,17-6007-50961,,241.1077423
Tomiko,46.53029,-79.82432,17-5904-51531,Tomiko,46.52777778,-79.82138889,17-5904-51531,,241.1592712
McKellar,45.51374,-79.93303,17-5833-50403,McKellar,45.51361111,-79.93361111,17-5833-50403,,241.4380035
Lovesick,44.55817,-78.23036,17-7197-49373,Lovesick,44.55722222,-78.23361111,17-7197-49373,,241.5410004
Canal,44.56744,-79.04366,17-6548-49368,Canal,44.57027778,-79.05,17-6548-49368,,243.0976563
Armstrong,45.51245,-79.91693,17-5846-50402,Armstrong,45.51222222,-79.91722222,17-5846-50402,,243.5709991
Rosseau,45.1741,-79.59755,17-6112-50030,Rosseau,45.17388889,-79.585,17-6112-50030,,244.6163483
Pigeon,44.47155,-78.49495,17-6992-49270,Pigeon,44.47083333,-78.495,17-6992-49270,,245.6330414
Big Bald,44.57664,-78.3863,17-7074-49389,Big Bald,44.57555556,-78.3875,17-7074-49389,,245.654007
Little Bald,44.57455,-78.41518,17-7050-49386,Little Bald,44.57388889,-78.41805556,17-7050-49386,,245.6549988
Buckhorn,44.4856,-78.39118,17-7074-49293,Buckhorn,44.48888889,-78.39166667,17-7074-49293,,245.6670074
Chemong,44.38846,-78.39205,17-7076-49181,Chemong,44.38861111,-78.39305556,17-7077-49181,,245.6719971
Constance,46.42866,-83.22546,17-3290-51439,Constance,46.42861111,-83.22555556,17-3290-51439,,246.2668915
Sandy,44.54516,-78.40526,17-7061-49353,Sandy,44.54388889,-78.40527778,17-7061-49353,,246.3610077
Emily,44.44638,-78.57542,17-6930-49241,Emily,44.44638889,-78.575,17-6930-49241,,246.7735901
Manitouwabing,45.47417,-79.90332,17-5857-50363,Manitouwabing,45.47666667,-79.90416667,17-5857-50363,,246.8157043
Sturgeon,44.47421,-78.68865,17-6820-49260,Sturgeon,44.46611111,-78.71166667,17-6820-49260,,247.0020752
Muskoka,45.02374,-79.47732,17-6201-49898,Muskoka,45.05361111,-79.475,17-6201-49898,,247.9168243
Raven,48.05196,-79.55023,17-6079-53230,Raven,48.05305556,-79.55194444,17-6079-53230,,248.9067078
Scugog,44.18343,-78.85724,17-6715-48930,Scugog,44.17194444,-78.85472222,17-6715-48930,,250.0348816
Lower Matagamasi,46.83882,-80.48435,17-5393-51873,Lower Matagamasi,46.83972222,-80.48444444,17-5393-51873,,250.1636658
Rossmere,46.33895,-82.77877,17-3631-51330,Rossmere,46.33888889,-82.77888889,17-3631-51330,,250.6146545
Bain,46.47284,-80.01199,17-5758-51468,Bain,46.47277778,-80.01222222,17-5758-51468,,250.6847229
Endikai,46.59111,-83.03067,17-3445-51613,Endikai,46.58944444,-83.03,17-3445-51613,,250.931778
Black Sturgeon,49.35824,-88.87211,16-3634-54687,Black Sturgeon,49.35805556,-88.88055556,16-3634-54687,,251.4946289
Bass,44.60345,-79.50664,17-6187-49397,Bass,44.6025,-79.50444444,17-6187-49397,,251.7171783
Montreuil,49.55267,-80.79031,17-5149-54886,Montreuil,49.55138889,-80.79416667,17-5149-54886,,252.0593262
Big Gull,44.82693,-76.96878,18-3453-49652,Big Gull,44.82583333,-76.95666667,18-3453-49652,,253.0190125
Saganash,49.05064,-82.58198,17-3846-54330,Saganash,49.04111111,-82.57944444,17-3846-54330,,253.0798035
Oak,44.59882,-77.9126,18-2687-49421,Oak,44.59666667,-77.91444444,18-2687-49421,,253.6529999
Cameron,44.55177,-78.76076,17-6778-49354,Cameron,44.55222222,-78.76138889,17-6778-49354,,254.6696014
Harris,49.59089,-80.82037,17-5128-54930,Harris,49.59166667,-80.82333333,17-5128-54930,,255.3084717
Pierre,49.50777,-80.71202,17-5206-54832,Pierre,49.50277778,-80.71527778,17-5206-54832,,255.6712646
Mitchell,44.57378,-78.9503,17-6627-49374,Mitchell,44.57361111,-78.95083333,17-6627-49374,,255.8268127
Vermilion,46.51845,-81.4009,17-4700-51520,Vermilion,46.52277778,-81.39111111,17-4700-51520,,255.940506
Balsam,44.58044,-78.84168,17-6712-49387,Balsam,44.58361111,-78.84388889,17-6712-49388,,256.3146973
Boss,46.54506,-84.10111,16-7223-51585,Boss,46.54527778,-84.10083333,16-7223-51585,,257.0767822
Govan,45.13314,-76.79515,18-3587-49991,Govan,45.13305556,-76.79694444,18-3587-49991,,257.2820129
Silver,44.68489,-78.79907,17-6744-49500,Silver,44.68416667,-78.79944444,17-6744-49500,,257.6664124
Shadow,44.71937,-78.79364,17-6749-49534,Shadow,44.71472222,-78.79166667,17-6749-49534,,258.4199829
Turtle,46.27189,-82.66444,17-3716-51254,Turtle,46.27166667,-82.66694444,17-3715-51254,,258.6056213
Little Abitibi,49.4068,-80.54886,17-5331-54730,Little Abitibi,49.41083333,-80.54333333,17-5331-54730,,260.4698181
Opasatika,49.06794,-83.13713,17-3441-54377,Opasatika,49.07416667,-83.13444444,17-3441-54377,,261.4877014
Fanshawe,43.05847,-81.17886,17-4857-47670,Fanshawe,43.05722222,-81.17555556,17-4857-47670,,262.1820068
Brule,45.05076,-77.04841,18-3388-49903,Brule,45.04944444,-77.04694444,18-3388-49903,,262.1830139
Oskawe,49.34929,-88.37581,16-4000-54670,Oskawe,49.34972222,-88.37722222,16-4000-54670,,263.9801025
Abitibi,48.65805,-79.84475,17-5851-53899,Abitibi,48.65833333,-79.845,17-5850-53899,,264.8900757
Wasi,46.13849,-79.22591,17-6371-51109,Wasi,46.13972222,-79.22444444,17-6371-51109,,265.236084
Whitewater,46.53339,-81.14176,17-4891-51531,Whitewater,46.53333333,-81.14194444,17-4891-51531,,265.7191162
Lower Buckhorn,44.5498,-78.27953,17-7170-49371,Lower Buckhorn,44.55638889,-78.26805556,17-7170-49371,,266.1729736
Sandy,44.67764,-77.88973,18-2710-49509,Sandy,44.67722222,-77.88944444,18-2710-49510,,267.5849915
Humestone,49.41618,-80.71877,17-5202-54735,Humestone,49.41583333,-80.72111111,17-5202-54735,,268.0906982
Head,44.74018,-78.91265,17-6651-49559,Head,44.73972222,-78.91416667,17-6651-49559,,268.8954468
Pickerel,48.8523,-81.04454,17-4967-54108,Pickerel,48.85222222,-81.04472222,17-4967-54108,,268.992981
Gull,44.84876,-78.77936,17-6755-49685,Gull,44.85,-78.77972222,17-6755-49685,,269.8293762
Four Mile,44.68172,-78.73724,17-6793-49499,Four Mile,44.68166667,-78.7375,17-6793-49498,,269.979187
Kashwakamak,44.8566,-77.0385,18-3389-49691,Kashwakamak,44.85888889,-77.03944444,18-3389-49691,,270.4870605
Bay,46.42728,-82.9196,17-3525-51431,Bay,46.42722222,-82.91972222,17-3525-51431,,270.6793213
Wawiagama,47.00583,-80.37028,17-5476-52058,Wawiagama,47.00611111,-80.37333333,17-5476-52058,,271.0621948
Donald,46.79829,-80.51028,17-5370-51830,Donald,46.80166667,-80.51527778,17-5370-51830,,271.2045288
Iron,46.50559,-83.93295,17-2748-51543,Iron,46.50694444,-83.935,17-2748-51543,,271.8815308
Frederick House,48.66063,-80.93786,17-5046-53895,Frederick House,48.66055556,-80.93805556,17-5046-53895,,271.8883057
Round,48.01448,-80.0419,17-5717-53183,Round,48.01611111,-80.03805556,17-5717-53183,,271.999939
Bay,47.34738,-79.83923,17-5880-52436,Bay,47.34166667,-79.83527778,17-5880-52436,,273.3110352
Brunswick,48.98722,-83.38942,17-3275-54280,Brunswick,48.98277778,-83.3575,17-3275-54280,,273.7824097
Silver,44.08538,-81.41929,17-4665-48812,Silver,44.08555556,-81.41833333,17-4665-48812,,273.8523254
Night Hawk,48.45682,-80.98027,17-5018-53686,Night Hawk,48.47277778,-80.97583333,17-5018-53686,,274.5805054
Palmerston,45.01754,-76.84758,18-3549-49862,Palmerston,45.01611111,-76.84194444,18-3549-49862,,274.8468018
Big Pike,49.20875,-83.45615,17-3210-54534,Big Pike,49.20944444,-83.45777778,17-3210-54534,,275.071167
Cummings,46.472,-83.35656,17-3191-51490,Cummings,46.47194444,-83.35666667,17-3191-51490,,276.6427917
Ahmic,45.63437,-79.69545,17-6025-50535,Ahmic,45.62944444,-79.685,17-6025-50535,,278.447998
Skeleton,45.25123,-79.45331,17-6216-50117,Skeleton,45.25055556,-79.45055556,17-6216-50117,,278.7630005
Agnew,46.36526,-81.75464,17-4414-51336,Agnew,46.35527778,-81.76111111,17-4414-51336,,279.4639282
Jack,44.69486,-78.03569,17-7358-49530,Jack,44.69388889,-78.02472222,17-7358-49530,,280.0660095
Mary,45.24434,-79.25842,17-6369-50115,Mary,45.24583333,-79.25527778,17-6369-50115,,280.118988
Cecebe,45.64268,-79.58059,17-6111-50550,Cecebe,45.64166667,-79.57388889,17-6111-50550,,281.5009766
Kamaniskeg,45.41755,-77.68981,18-2891-50334,Kamaniskeg,45.42416667,-77.69638889,18-2891-50334,,281.7455444
Peninsula,45.34289,-79.09921,17-6488-50221,Peninsula,45.33861111,-79.10083333,17-6488-50221,,282.9176636
Loch Lomond,48.25705,-89.32431,16-3272-53473,Loch Lomond,48.25722222,-89.32805556,16-3272-53473,,284.8435059
Obabika,47.04318,-80.26229,17-5566-52101,Obabika,47.04361111,-80.25472222,17-5566-52101,,285.2774658
Rabbit,46.9898,-79.6473,17-6031-52053,Rabbit,46.99527778,-79.64416667,17-6031-52053,,285.8828125
Larder,48.08541,-79.64223,17-6010-53265,Larder,48.08555556,-79.64361111,17-6010-53265,,286.0803223
Purdom,49.15261,-88.4217,16-3964-54451,Purdom,49.15194444,-88.42083333,16-3964-54451,,286.5774536
Red Cedar,46.71781,-79.94034,17-5812-51735,Red Cedar,46.7125,-79.93722222,17-5812-51736,,287.1346741
Wawa,48.01285,-84.72161,16-6699-53200,Wawa,48.01277778,-84.72166667,16-6699-53200,,287.2488403
Hangstone,46.81988,-79.88986,17-5845-51854,Hangstone,46.81916667,-79.89222222,17-5845-51855,,287.2960815
Birch,46.30414,-81.97448,17-4246-51279,Birch,46.30222222,-81.97972222,17-4246-51279,,287.4830933
Marten,46.70317,-79.73057,17-5953-51723,Marten,46.69944444,-79.75333333,17-5953-51723,,287.7462158
Fosters,45.24977,-77.67526,18-2900-50140,Fosters,45.24972222,-77.67555556,18-2900-50139,,288.0645752
Shawenegog,44.91015,-77.05502,18-3380-49750,Shawenegog,44.91222222,-77.0525,18-3380-49750,,288.1783447
Little Sturge,49.21193,-88.90847,16-3608-54522,Little Sturge,49.20916667,-88.91055556,16-3608-54522,,288.230011
Nagagamisis,49.47731,-84.65717,16-6697-54829,Nagagamisis,49.47722222,-84.65722222,16-6697-54829,,288.5997925
Diamond,47.20455,-80.24759,17-5580-52276,Diamond,47.20166667,-80.23416667,17-5580-52276,,288.9935913
Skootamatta,44.8375,-77.24743,18-3220-49677,Skootamatta,44.8425,-77.25222222,18-3220-49677,,289.5799866
Big Deer,45.7668,-79.7507,17-5971-50688,Big Deer,45.7675,-79.75083333,17-5971-50688,,291.1986084
Buckshot,44.99564,-77.06938,18-3369-49845,Buckshot,44.9975,-77.06916667,18-3369-49845,,291.4200134
St. Anthony,47.96541,-79.71119,17-5962-53128,St. Anthony,47.96305556,-79.71083333,17-5962-53128,,291.4580688
Burns,45.5871,-77.67143,18-2916-50515,Burns,45.5875,-77.67166667,18-2916-50515,,291.5370178
Maloney,48.9598,-80.6298,17-5271-54228,Maloney,48.95972222,-80.63,17-5271-54228,,291.7616577
Circle,49.35977,-89.01858,16-3534-54692,Circle,49.35972222,-89.01861111,16-3534-54692,,291.9169312
Cross,46.8721,-79.96696,17-5788-51912,Cross,46.87166667,-79.96638889,17-5788-51912,,292.598938
Return,48.98952,-81.77873,17-4430-54264,Return,48.98944444,-81.77888889,17-4430-54264,,292.7068787
Oke,48.9373,-81.87845,17-4357-54206,Oke,48.93722222,-81.87861111,17-4357-54206,,293.0932007
Doe,45.53377,-79.41413,17-6239-50430,Doe,45.53111111,-79.41388889,17-6239-50429,,293.1270142
McMahon,46.53421,-83.8027,17-2851-51570,McMahon,46.53416667,-83.80277778,17-2851-51570,,293.3615112
Catchacoma,44.75058,-78.32526,17-7116-49585,Catchacoma,44.75083333,-78.32694444,17-7116-49585,,294.2919922
Mississagua,44.70569,-78.32072,17-7123-49536,Mississagua,44.70638889,-78.32055556,17-7123-49536,,294.2950134
Cassels,47.06939,-79.71594,17-5970-52137,Cassels,47.07166667,-79.7225,17-5970-52137,,295.9387817
Kittson,47.33973,-79.95931,17-5787-52433,Kittson,47.34055556,-79.95805556,17-5787-52433,,296.4420166
Snare,49.40549,-80.10818,17-5646-54725,Snare,49.40361111,-80.10916667,17-5646-54725,,296.4550171
Nagagami,49.42202,-85.0419,16-6420-54760,Nagagami,49.42194444,-85.04194444,16-6420-54760,,297.8695374
Spring,45.81025,-79.68167,17-6023-50734,Spring,45.80861111,-79.68277778,17-6024-50734,,298.2850037
Aileen,46.87867,-80.01783,17-5748-51919,Aileen,46.87861111,-80.01805556,17-5748-51919,,298.5341187
Buck,45.42025,-79.39479,17-6254-50307,Buck,45.42027778,-79.39666667,17-6254-50307,,299.7860107
Rawson,46.92006,-80.56675,17-5330-51961,Rawson,46.92,-80.56694444,17-5330-51961,,300.6452026
Thieving Bear,47.17876,-79.82724,17-5889-52256,Thieving Bear,47.17944444,-79.82611111,17-5890-52256,,301.1653442
Wasicho,49.43254,-80.1837,17-5590-54756,Wasicho,49.43222222,-80.18694444,17-5590-54756,,301.8648682
Sisseney,47.86371,-80.66658,17-5247-53013,Sisseney,47.86638889,-80.67,17-5247-53013,,303.6798706
Hiawatha,49.51536,-85.0119,16-6439-54864,Hiawatha,49.51527778,-85.01194444,16-6439-54864,,303.9602356
Buckshot,47.55979,-84.91051,16-6572-52693,Buckshot,47.55972222,-84.91055556,16-6572-52693,,305.1329956
Round,45.46467,-79.40602,17-6247-50356,Round,45.46472222,-79.40527778,17-6247-50356,,305.7960205
Manitowik,48.16368,-84.37354,16-6953-53376,Manitowik,48.16361111,-84.37361111,16-6953-53376,,306.0194092
Anvil,47.42262,-80.26691,17-5552-52523,Anvil,47.42416667,-80.26833333,17-5552-52523,,306.6886597
Devils,46.77811,-83.94464,17-2752-51845,Devils,46.77805556,-83.94472222,17-2752-51845,,306.7756958
White Otter,49.4723,-85.54923,16-6053-54810,White Otter,49.47472222,-85.54694444,16-6053-54810,,306.8752441
Wasaksina,46.935,-79.89212,17-5842-51980,Wasaksina,46.93194444,-79.89444444,17-5842-51980,,307.1981506
Twelve Mile,45.02509,-78.7047,17-6807-49881,Twelve Mile,45.02527778,-78.70611111,17-6807-49881,,307.7398987
Kokoko,47.08895,-80.03639,17-5733-52151,Kokoko,47.08694444,-80.03444444,17-5733-52151,,307.8667603
Whitefish,48.00938,-84.47039,16-6898-53236,Whitefish,48.03972222,-84.45305556,16-6898-53236,,308.2987671
Cavern,48.8321,-88.66491,16-3778-54100,Cavern,48.8325,-88.66444444,16-3779-54099,,308.6522217
Net,47.11604,-79.78758,17-5909-52183,Net,47.11388889,-79.80138889,17-5909-52183,,309.0744629
Driftwood,46.98242,-79.87887,17-5852-52035,Driftwood,46.98194444,-79.88,17-5852-52035,,309.2311707
Rib,47.21484,-79.71615,17-5972-52300,Rib,47.21805556,-79.71694444,17-5971-52300,,309.296875
